id,room_type,minimum_nights,census_tract,census_NBH,amenities,price
5495267,Private room,150,818,Roxbury,"[""Wifi"", ""Carbon monoxide alarm"", ""Backyard"", ""Hot water"", ""Window guards"", ""Stove"", ""Oven"", ""Dishes and silverware"", ""Kitchen"", ""Smoke alarm"", ""Long term stays allowed"", ""Free parking on premises"", ""Lock on bedroom door"", ""Hangers"", ""Bathtub"", ""Refrigerator"", ""Heating"", ""Air conditioning"", ""Microwave""]",36.0
5526487,Entire home/apt,3,808.01,Mission Hill,"[""Wifi"", ""Stove"", ""Keypad"", ""Kitchen"", ""Dishwasher"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""Washer"", ""Hair dryer"", ""TV"", ""Air conditioning"", ""Shampoo"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Heating"", ""Microwave""]",325.0
5526514,Entire home/apt,3,814,Roxbury,"[""Wifi"", ""Stove"", ""Keypad"", ""Kitchen"", ""Dishwasher"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""Washer"", ""Hair dryer"", ""Central heating"", ""Luggage dropoff allowed"", ""TV"", ""Bathtub"", ""Air conditioning"", ""Shampoo"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Essentials"", ""Hot water"", ""Fireplace guards"", ""Dishes and silverware"", ""Indoor fireplace"", ""Fire extinguisher"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Long term stays allowed"", ""Microwave""]",179.0
5581575,Entire home/apt,29,106,Back Bay,"[""Wifi"", ""Stove"", ""Keypad"", ""Kitchen"", ""Paid parking lot on premises \u2013 1 space"", ""Window AC unit"", ""Single level home"", ""Barbecue utensils"", ""Outdoor dining area"", ""Refrigerator"", ""Toaster"", ""Children\u2019s dinnerware"", ""Iron"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""High chair"", ""Washer"", ""Hair dryer"", ""BBQ grill"", ""Extra pillows and blankets"", ""Bathtub"", ""Hot water kettle"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Dining table"", ""Private entrance"", ""Baking sheet"", ""Microwave"", ""Dedicated workspace"", ""Private patio or balcony"", ""Coffee"", ""HDTV with Amazon Prime Video, HBO Max, Hulu, Netflix, standard cable"", ""Ethernet connection"", ""Essentials"", ""Hot water"", ""Children\u2019s books and toys"", ""Books and reading material"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Heating"", ""Fire extinguisher""]",310.0
5690424,Entire home/apt,91,201.01,Beacon Hill,"[""Wifi"", ""Stove"", ""Kitchen"", ""Dishwasher"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Pack \u2019n play/Travel crib"", ""TV with standard cable"", ""High chair"", ""Washer"", ""Coffee maker"", ""Hair dryer"", ""Patio or balcony"", ""Extra pillows and blankets"", ""Lockbox"", ""Luggage dropoff allowed"", ""Bathtub"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Microwave"", ""Essentials"", ""Hot water"", ""Paid parking off premises"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher""]",310.0
5709298,Entire home/apt,2,202,Beacon Hill,"[""Wifi"", ""Stove"", ""Keypad"", ""Kitchen"", ""Dishwasher"", ""Free street parking"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Pack \u2019n play/Travel crib"", ""TV with standard cable"", ""Coffee maker"", ""Washer"", ""Hair dryer"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Essentials"", ""Hot water"", ""Paid parking off premises"", ""Central air conditioning"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",179.0
5718801,Entire home/apt,1,707,South End,"[""Wifi"", ""Kitchen"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""TV with standard cable"", ""Washer"", ""Hair dryer"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Cooking basics"", ""Dedicated workspace"", ""Smart lock"", ""Essentials"", ""Hot water"", ""Paid parking off premises"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",141.0
5738018,Entire home/apt,91,812,Jamaica Plain,"[""Shampoo"", ""Wifi"", ""Washer"", ""Hair dryer"", ""Kitchen"", ""Smoke alarm"", ""Hangers"", ""Dryer"", ""Pets allowed"", ""Heating"", ""Essentials"", ""Iron""]",95.0
5768819,Entire home/apt,1,707,South End,"[""Wifi"", ""Stove"", ""Kitchen"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""TV with standard cable"", ""Washer"", ""Hair dryer"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Cooking basics"", ""Dedicated workspace"", ""Smart lock"", ""Essentials"", ""Hot water"", ""Paid parking off premises"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",139.0
5769127,Entire home/apt,1,707,South End,"[""Wifi"", ""Stove"", ""Kitchen"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""TV with standard cable"", ""Washer"", ""Hair dryer"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Cooking basics"", ""Dedicated workspace"", ""Smart lock"", ""Essentials"", ""Hot water"", ""Paid parking off premises"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",141.0
5775139,Private room,91,7.03,Allston,[],70.0
5781926,Entire home/apt,3,604,South Boston,"[""Wifi"", ""Stove"", ""City skyline view"", ""Keypad"", ""Kitchen"", ""Ocean view"", ""Waterfront"", ""First aid kit"", ""Outdoor dining area"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""TV with standard cable"", ""Outdoor furniture"", ""Hair dryer"", ""BBQ grill"", ""Extra pillows and blankets"", ""Bay view"", ""Bathtub"", ""Air conditioning"", ""Beach view"", ""Shampoo"", ""Bed linens"", ""Garden view"", ""Carbon monoxide alarm"", ""Backyard"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Private entrance"", ""Microwave"", ""Private patio or balcony"", ""Essentials"", ""Hot water"", ""Fire pit"", ""Dishes and silverware"", ""Hangers"", ""Beach access \u2013 Beachfront"", ""Self check-in"", ""Heating"", ""Fire extinguisher""]",200.0
5782221,Entire home/apt,3,301,North End,"[""Wifi"", ""Kitchen"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Pack \u2019n play/Travel crib"", ""TV with standard cable"", ""Coffee maker"", ""Hair dryer"", ""Patio or balcony"", ""Lockbox"", ""Air conditioning"", ""Shampoo"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hangers"", ""Self check-in"", ""Heating"", ""Microwave""]",300.0
5806428,Entire home/apt,91,509.01,East Boston,"[""Wifi"", ""Stove"", ""Kitchen"", ""Dishwasher"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Hair dryer"", ""Lockbox"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Private entrance"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Heating"", ""Fire extinguisher""]",125.0
5813177,Entire home/apt,91,104.04,Fenway,"[""Wifi"", ""Carbon monoxide alarm"", ""Kitchen"", ""Smoke alarm"", ""Elevator"", ""Heating"", ""Air conditioning""]",62.0
5856633,Entire home/apt,91,604,South Boston,"[""Wifi"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Washer"", ""Kitchen"", ""Smoke alarm"", ""Free parking on premises"", ""First aid kit"", ""Dryer"", ""Heating"", ""Air conditioning"", ""Fire extinguisher""]",350.0
5870922,Private room,3,8.04,Allston,"[""Wifi"", ""Keypad"", ""Long term stays allowed"", ""Window AC unit"", ""Lock on bedroom door"", ""40\"" TV with Amazon Prime Video, Hulu, Netflix, standard cable"", ""First aid kit"", ""Refrigerator"", ""Free driveway parking on premises \u2013 1 space"", ""Paid parking on premises"", ""Wine glasses"", ""Iron"", ""Hair dryer"", ""Free washer \u2013 In building"", ""Cleaning products"", ""Body soap"", ""Freezer"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Bathtub"", ""Conditioner"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Cooking basics"", ""Mini fridge"", ""Microwave"", ""Essentials"", ""Hot water"", ""Paid parking off premises"", ""Coffee maker: Keurig coffee machine"", ""Dishes and silverware"", ""Hangers"", ""Clothing storage: closet"", ""Self check-in"", ""Free dryer \u2013 In building"", ""Heating"", ""Fire extinguisher""]",59.0
5903001,Entire home/apt,3,107.02,Back Bay,"[""Wifi"", ""Stove"", ""Kitchen"", ""Dishwasher"", ""Refrigerator"", ""Coffee maker"", ""TV with standard cable"", ""Washer"", ""Hair dryer"", ""Air conditioning"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hangers"", ""Dryer"", ""Heating"", ""Microwave""]",300.0
5919529,Entire home/apt,91,703.02,South End,"[""Wifi"", ""Kitchen"", ""First aid kit"", ""Iron"", ""Pack \u2019n play/Travel crib"", ""TV with standard cable"", ""Washer"", ""Hair dryer"", ""Indoor fireplace: gas"", ""Air conditioning"", ""Shampoo"", ""Carbon monoxide alarm"", ""Backyard"", ""Smoke alarm"", ""Cooking basics"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Children\u2019s books and toys"", ""Hangers"", ""Dryer"", ""Heating"", ""Exercise equipment"", ""Fire extinguisher""]",568.0
5927267,Private room,5,612.01,South Boston,"[""Wifi"", ""Hair dryer"", ""Cooking basics"", ""Dedicated workspace"", ""Heating"", ""Air conditioning"", ""Essentials"", ""Iron""]",64.0
5932402,Private room,91,705.01,South End,"[""Wifi"", ""TV with standard cable"", ""Washer"", ""Kitchen"", ""Smoke alarm"", ""Dryer"", ""Heating"", ""Air conditioning"", ""Essentials""]",100.0
