id,room_type,minimum_nights,census_tract,census_NBH,amenities,price
52249525,Entire home/apt,32,711.01,South End,"[""Wifi"", ""Kitchen"", ""Dishwasher"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""Dryer \u2013 In building"", ""Hair dryer"", ""Elevator"", ""Lockbox"", ""TV"", ""Bathtub"", ""Washer \u2013\u00a0In building"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Private entrance"", ""Gym"", ""Essentials"", ""Hot water"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",219.0
52253773,Entire home/apt,31,201.01,Beacon Hill,"[""Shampoo"", ""Carbon monoxide alarm"", ""Wifi"", ""Washer"", ""Hot water"", ""Hair dryer"", ""Kitchen"", ""Smoke alarm"", ""Free parking on premises"", ""Dedicated workspace"", ""Hangers"", ""First aid kit"", ""TV"", ""Dryer"", ""Heating"", ""Air conditioning"", ""Fire extinguisher"", ""Essentials"", ""Iron""]",90.0
52264392,Private room,2,1403,Hyde Park,"[""Lock on bedroom door"", ""Barbecue utensils"", ""Beach essentials"", ""Refrigerator"", ""Toaster"", ""Wine glasses"", ""Ceiling fan"", ""Drying rack for clothing"", ""Blender"", ""BBQ grill"", ""Lockbox"", ""Security cameras on property"", ""Cooking basics"", ""Baby safety gates"", ""Changing table"", ""Ethernet connection"", ""Hot water"", ""Books and reading material"", ""Babysitter recommendations"", ""Portable fans"", ""Kitchen"", ""First aid kit"", ""Crib - available upon request"", ""Pack \u2019n play/Travel crib - available upon request"", ""Bathtub"", ""Hot water kettle"", ""Clothing storage: closet, dresser, walk-in closet, and wardrobe"", ""Hammock"", ""Garden view"", ""Beach access"", ""Dining table"", ""Private entrance"", ""Baking sheet"", ""Dedicated workspace"", ""Paid dryer \u2013 In unit"", ""Coffee maker: Keurig coffee machine"", ""Private backyard \u2013 Fully fenced"", ""Paid washer \u2013 In unit"", ""Heating"", ""City skyline view"", ""Dishwasher"", ""Outlet covers"", ""Valley view"", ""Paid parking on premises"", ""Pets allowed"", ""Children\u2019s dinnerware"", ""Iron"", ""Hair dryer"", ""Shower gel"", ""Cleaning available during stay"", ""Cleaning products"", ""Lake access"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Shampoo"", ""Bed linens"", ""Safe"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old"", ""Mini fridge"", ""Free parking on premises"", ""Board games"", ""GE gas stove"", ""Coffee"", ""Trash compactor"", ""Essentials"", ""Mosquito net"", ""Dishes and silverware"", ""65\"" HDTV with Netflix, Amazon Prime Video"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Window guards"", ""Window AC unit"", ""Free street parking"", ""Baby bath"", ""Bidet"", ""Outdoor dining area"", ""Room-darkening shades"", ""Outdoor furniture"", ""High chair"", ""Shared patio or balcony"", ""Body soap"", ""Freezer"", ""Laundromat nearby"", ""Conditioner"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Pocket wifi"", ""Baby monitor"", ""Self check-in"", ""Fast wifi \u2013 359 Mbps"", ""Microwave""]",46.0
52285741,Entire home/apt,2,813.02,Roxbury,"[""Wifi"", ""Kitchen"", ""Free street parking"", ""Toaster"", ""Wine glasses"", ""Ceiling fan"", ""Iron"", ""Room-darkening shades"", ""Washer"", ""Coffee maker: drip coffee maker"", ""Hair dryer"", ""Shower gel"", ""Central heating"", ""Blender"", ""Cleaning products"", ""Body soap"", ""Freezer"", ""Extra pillows and blankets"", ""Lockbox"", ""TV"", ""Bathtub"", ""Free dryer \u2013 In unit"", ""Air conditioning"", ""Hot water kettle"", ""Bed linens"", ""Carbon monoxide alarm"", ""White oven"", ""Security cameras on property"", ""Smoke alarm"", ""Cooking basics"", ""Ge refrigerator"", ""Dining table"", ""Microwave"", ""Coffee"", ""Ethernet connection"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Fire extinguisher"", ""Gas stove"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Clothing storage: dresser and closet""]",185.0
52312207,Entire home/apt,32,708.01,Roxbury,"[""Wifi"", ""Kitchen"", ""Dishwasher"", ""Refrigerator"", ""Coffee maker"", ""Iron"", ""Hair dryer"", ""Lockbox"", ""TV"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Private entrance"", ""Essentials"", ""Hot water"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",137.0
52358493,Entire home/apt,32,301,North End,"[""Wifi"", ""Kitchen"", ""Dishwasher"", ""Refrigerator"", ""Pets allowed"", ""Coffee maker"", ""Iron"", ""Dryer \u2013 In building"", ""Hair dryer"", ""Lockbox"", ""TV"", ""Washer \u2013\u00a0In building"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Private entrance"", ""Essentials"", ""Hot water"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",181.0
52358553,Entire home/apt,32,301,North End,"[""Wifi"", ""Kitchen"", ""Dishwasher"", ""Refrigerator"", ""Pets allowed"", ""Coffee maker"", ""Iron"", ""Dryer \u2013 In building"", ""Hair dryer"", ""Lockbox"", ""TV"", ""Washer \u2013\u00a0In building"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Private entrance"", ""Essentials"", ""Hot water"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",147.0
52358561,Entire home/apt,60,612.04,South Boston Waterfront,"[""Wifi"", ""Kitchen"", ""Dishwasher"", ""Refrigerator"", ""Coffee maker"", ""Iron"", ""Hair dryer"", ""Elevator"", ""Lockbox"", ""TV"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Dryer \u2013\u00a0In unit"", ""Oven"", ""Smoke alarm"", ""Private entrance"", ""Washer \u2013\u00a0In unit"", ""Essentials"", ""Hot water"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",191.0
52360274,Entire home/apt,32,301,North End,"[""Wifi"", ""Kitchen"", ""Dishwasher"", ""Refrigerator"", ""Pets allowed"", ""Coffee maker"", ""Iron"", ""Dryer \u2013 In building"", ""Hair dryer"", ""Lockbox"", ""TV"", ""Washer \u2013\u00a0In building"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Private entrance"", ""Essentials"", ""Hot water"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",197.0
52360279,Entire home/apt,32,711.01,South End,"[""Wifi"", ""Kitchen"", ""Dishwasher"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""Dryer \u2013 In building"", ""Hair dryer"", ""Elevator"", ""Lockbox"", ""TV"", ""Bathtub"", ""Washer \u2013\u00a0In building"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Private entrance"", ""Gym"", ""Essentials"", ""Hot water"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",188.0
52367380,Private room,2,818,Roxbury,"[""Wifi"", ""Keypad"", ""Kitchen"", ""Free street parking"", ""Lock on bedroom door"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Room-darkening shades"", ""Coffee maker"", ""Washer"", ""Central heating"", ""Patio or balcony"", ""Cleaning products"", ""Body soap"", ""Stainless steel stove"", ""TV"", ""Laundromat nearby"", ""Hot water kettle"", ""Air conditioning"", ""Bed linens"", ""Carbon monoxide alarm"", ""Backyard"", ""Security cameras on property"", ""Stainless steel oven"", ""Smoke alarm"", ""Cooking basics"", ""Baking sheet"", ""Microwave"", ""Coffee"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Clothing storage: closet"", ""Self check-in"", ""Free dryer \u2013 In building"", ""Fire extinguisher""]",52.0
52367763,Private room,2,818,Roxbury,"[""Wifi"", ""Keypad"", ""Kitchen"", ""Dishwasher"", ""Free street parking"", ""Lock on bedroom door"", ""Paid dryer \u2013 In building"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Room-darkening shades"", ""Coffee maker"", ""Washer"", ""Central heating"", ""Cleaning products"", ""Body soap"", ""Stainless steel stove"", ""TV"", ""Hot water kettle"", ""Air conditioning"", ""Bed linens"", ""Carbon monoxide alarm"", ""Security cameras on property"", ""Stainless steel oven"", ""Smoke alarm"", ""Cooking basics"", ""Baking sheet"", ""Microwave"", ""Dedicated workspace"", ""Coffee"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Clothing storage: closet"", ""Self check-in"", ""Fire extinguisher""]",60.0
52367950,Private room,1,106,Back Bay,"[""Wifi"", ""Lock on bedroom door"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Room-darkening shades"", ""Paid parking garage off premises"", ""Hair dryer"", ""Shower gel"", ""Body soap"", ""TV"", ""Laundromat nearby"", ""Air conditioning"", ""Conditioner"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Safe"", ""Smoke alarm"", ""Private entrance"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Hangers"", ""Heating"", ""Fire extinguisher""]",231.0
52376819,Entire home/apt,32,605.01,South Boston,"[""Wifi"", ""Kitchen"", ""Dishwasher"", ""Refrigerator"", ""Pets allowed"", ""Iron"", ""Coffee maker"", ""Dryer \u2013 In building"", ""Hair dryer"", ""Lockbox"", ""TV"", ""Bathtub"", ""Washer \u2013\u00a0In building"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Private entrance"", ""Essentials"", ""Hot water"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",188.0
52381144,Entire home/apt,1,301,North End,"[""Wifi"", ""Long term stays allowed"", ""Window AC unit"", ""Crib"", ""Single level home"", ""Refrigerator"", ""Pets allowed"", ""Toaster"", ""Wine glasses"", ""Iron"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Hair dryer"", ""Shower gel"", ""37\"" HDTV with Amazon Prime Video, Apple TV, Disney+, Fire TV, HBO Max, Hulu, Netflix, Roku"", ""Blender"", ""Cleaning products"", ""Body soap"", ""Freezer"", ""Extra pillows and blankets"", ""Lockbox"", ""Luggage dropoff allowed"", ""Bathtub"", ""Laundromat nearby"", ""Hot water kettle"", ""Conditioner"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Security cameras on property"", ""Smoke alarm"", ""Cooking basics"", ""Mini fridge"", ""Dining table"", ""Microwave"", ""Dedicated workspace"", ""Coffee"", ""Essentials"", ""Hot water"", ""Courtyard view"", ""Paid parking off premises"", ""Dishes and silverware"", ""Portable fans"", ""Boat slip"", ""Hangers"", ""Self check-in"", ""Clothing storage"", ""Heating"", ""Fire extinguisher""]",189.0
52384026,Private room,1,106,Back Bay,"[""Wifi"", ""Lock on bedroom door"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Room-darkening shades"", ""Paid parking garage off premises"", ""Hair dryer"", ""Shower gel"", ""Elevator"", ""Body soap"", ""TV"", ""Laundromat nearby"", ""Air conditioning"", ""Conditioner"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Safe"", ""Security cameras on property"", ""Smoke alarm"", ""Private entrance"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Hangers"", ""Clothing storage"", ""Heating"", ""Fire extinguisher""]",232.0
52384493,Entire home/apt,1,301,North End,"[""Wifi"", ""Stove"", ""Kitchen"", ""Long term stays allowed"", ""Window AC unit"", ""Crib"", ""Single level home"", ""35\"" HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Fire TV, HBO Max, Hulu, Netflix, Roku"", ""Refrigerator"", ""Pets allowed"", ""Toaster"", ""Wine glasses"", ""Iron"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Hair dryer"", ""Shower gel"", ""EV charger"", ""Cleaning products"", ""Body soap"", ""Freezer"", ""Extra pillows and blankets"", ""Lockbox"", ""Luggage dropoff allowed"", ""Bathtub"", ""Laundromat nearby"", ""Hot water kettle"", ""Conditioner"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Security cameras on property"", ""Smoke alarm"", ""Cooking basics"", ""Dining table"", ""Baking sheet"", ""Microwave"", ""Dedicated workspace"", ""Board games"", ""Essentials"", ""Hot water"", ""Courtyard view"", ""Paid parking off premises"", ""Dishes and silverware"", ""Portable fans"", ""Indoor fireplace"", ""Hangers"", ""Self check-in"", ""Clothing storage"", ""Heating"", ""Fire extinguisher""]",165.0
52389631,Entire home/apt,1,911,Dorchester,"[""Wifi"", ""Stove"", ""Kitchen"", ""Dishwasher"", ""Free street parking"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""Washer"", ""Hair dryer"", ""Extra pillows and blankets"", ""Lockbox"", ""Luggage dropoff allowed"", ""TV"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Backyard"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Free parking on premises"", ""Private entrance"", ""Microwave"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Babysitter recommendations"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Heating"", ""Fire extinguisher""]",125.0
52421831,Entire home/apt,2,1002,Dorchester,"[""Wifi"", ""Keypad"", ""Kitchen"", ""Dishwasher"", ""Free street parking"", ""Bluetooth sound system"", ""First aid kit"", ""Refrigerator"", ""Toaster"", ""Wine glasses"", ""Iron"", ""Room-darkening shades"", ""Coffee maker"", ""Washer"", ""Hair dryer"", ""Central heating"", ""Cleaning products"", ""Freezer"", ""Extra pillows and blankets"", ""TV"", ""Laundromat nearby"", ""Hot water kettle"", ""Air conditioning"", ""Clothing storage: closet and dresser"", ""Bed linens"", ""Carbon monoxide alarm"", ""Electric stove"", ""Security cameras on property"", ""Stainless steel oven"", ""Smoke alarm"", ""Cooking basics"", ""Dining table"", ""Private entrance"", ""Baking sheet"", ""Dedicated workspace"", ""Board games"", ""Ethernet connection"", ""Essentials"", ""Free dryer"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Microwave""]",164.0
52421929,Private room,1,106,Back Bay,"[""Wifi"", ""Lock on bedroom door"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Room-darkening shades"", ""Paid parking garage off premises"", ""Hair dryer"", ""Shower gel"", ""Elevator"", ""Body soap"", ""TV"", ""Laundromat nearby"", ""Air conditioning"", ""Conditioner"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Safe"", ""Smoke alarm"", ""Private entrance"", ""Dedicated workspace"", ""Gym"", ""Essentials"", ""Hot water"", ""Hangers"", ""Clothing storage"", ""Heating"", ""Fire extinguisher""]",219.0
52422200,Private room,1,106,Back Bay,"[""Wifi"", ""Lock on bedroom door"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Room-darkening shades"", ""Paid parking garage off premises"", ""Hair dryer"", ""Shower gel"", ""Elevator"", ""Body soap"", ""TV"", ""Laundromat nearby"", ""Air conditioning"", ""Conditioner"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Safe"", ""Smoke alarm"", ""Private entrance"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Hangers"", ""Clothing storage"", ""Heating"", ""Fire extinguisher""]",260.0
52422480,Private room,1,106,Back Bay,"[""Wifi"", ""Lock on bedroom door"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Room-darkening shades"", ""Paid parking garage off premises"", ""Hair dryer"", ""Shower gel"", ""Elevator"", ""Body soap"", ""TV"", ""Laundromat nearby"", ""Air conditioning"", ""Conditioner"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Safe"", ""Smoke alarm"", ""Private entrance"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Hangers"", ""Clothing storage"", ""Heating"", ""Fire extinguisher""]",237.0
52422690,Private room,1,106,Back Bay,"[""Wifi"", ""Lock on bedroom door"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Room-darkening shades"", ""Paid parking garage off premises"", ""Hair dryer"", ""Shower gel"", ""Elevator"", ""Body soap"", ""TV"", ""Laundromat nearby"", ""Air conditioning"", ""Conditioner"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Safe"", ""Security cameras on property"", ""Smoke alarm"", ""Private entrance"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Hangers"", ""Clothing storage"", ""Heating"", ""Fire extinguisher""]",248.0
52422789,Private room,1,106,Back Bay,"[""Wifi"", ""Lock on bedroom door"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Room-darkening shades"", ""Paid parking garage off premises"", ""Hair dryer"", ""Shower gel"", ""Elevator"", ""Body soap"", ""Freezer"", ""TV"", ""Laundromat nearby"", ""Air conditioning"", ""Conditioner"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Safe"", ""Smoke alarm"", ""Private entrance"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Hangers"", ""Clothing storage"", ""Heating"", ""Exercise equipment"", ""Fire extinguisher""]",275.0
52425384,Entire home/apt,2,1204,Jamaica Plain,"[""Wifi"", ""Kitchen"", ""Breakfast"", ""First aid kit"", ""Pets allowed"", ""Iron"", ""Washer"", ""Hair dryer"", ""Lockbox"", ""TV"", ""Air conditioning"", ""Shampoo"", ""Smoke alarm"", ""Cooking basics"", ""Dedicated workspace"", ""Essentials"", ""Dishes and silverware"", ""Indoor fireplace"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Heating"", ""Fire extinguisher""]",124.0
52453541,Entire home/apt,2,1005,Dorchester,"[""Wifi"", ""AC - split type ductless system"", ""Window guards"", ""Kitchen"", ""Long term stays allowed"", ""Dishwasher"", ""Free street parking"", ""Frigidaire stainless steel gas stove"", ""Outdoor dining area"", ""Refrigerator"", ""Shared backyard \u2013 Fully fenced"", ""Wine glasses"", ""Iron"", ""Room-darkening shades"", ""Coffee maker: Nespresso"", ""Outdoor furniture"", ""Shared patio or balcony"", ""Hair dryer"", ""Shower gel"", ""65\"" HDTV with Amazon Prime Video, Apple TV, Disney+, Fire TV, HBO Max, Hulu, Netflix"", ""Free washer \u2013 In unit"", ""Cleaning products"", ""Body soap"", ""Freezer"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Bathtub"", ""Laundromat nearby"", ""Free dryer \u2013 In unit"", ""Hot water kettle"", ""Conditioner"", ""Shampoo"", ""Bed linens"", ""Garden view"", ""Safe"", ""Carbon monoxide alarm"", ""Hammock"", ""Oven"", ""Security cameras on property"", ""Smoke alarm"", ""Cooking basics"", ""Mini fridge"", ""Dining table"", ""Free parking on premises"", ""Private entrance"", ""Baking sheet"", ""Microwave"", ""Dedicated workspace"", ""Smart lock"", ""Coffee"", ""Trash compactor"", ""Essentials"", ""Hot water"", ""Fire pit"", ""Dishes and silverware"", ""Books and reading material"", ""Portable fans"", ""Hangers"", ""Self check-in"", ""Clothing storage"", ""Heating"", ""Exercise equipment"", ""Fire extinguisher""]",350.0
52468803,Entire home/apt,3,705.01,South End,"[""Wifi"", ""Stove"", ""Kitchen"", ""Dishwasher"", ""Radiant heating"", ""Refrigerator"", ""Portable air conditioning"", ""Wine glasses"", ""Toaster"", ""Ceiling fan"", ""Iron"", ""Hair dryer"", ""Shower gel"", ""Cleaning products"", ""Body soap"", ""Freezer"", ""Extra pillows and blankets"", ""Lockbox"", ""Bathtub"", ""Hot water kettle"", ""Bed linens"", ""Carbon monoxide alarm"", ""Coffee maker: french press"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Baking sheet"", ""Microwave"", ""TV with Roku"", ""Coffee"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Books and reading material"", ""Portable fans"", ""Hangers"", ""Self check-in"", ""Clothing storage"", ""Fire extinguisher""]",150.0
52468920,Entire home/apt,1,804.01,Roxbury,"[""Wifi"", ""Stove"", ""Kitchen"", ""Dishwasher"", ""First aid kit"", ""Outdoor dining area"", ""Refrigerator"", ""Pets allowed"", ""Toaster"", ""Wine glasses"", ""Iron"", ""Room-darkening shades"", ""Outdoor furniture"", ""Coffee maker: drip coffee maker"", ""Hair dryer"", ""Shower gel"", ""Central heating"", ""Free washer \u2013 In unit"", ""Cleaning products"", ""Body soap"", ""Freezer"", ""Extra pillows and blankets"", ""Lockbox"", ""TV"", ""Bathtub"", ""Free dryer \u2013 In unit"", ""Conditioner"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Security cameras on property"", ""Smoke alarm"", ""Cooking basics"", ""Dining table"", ""Indoor fireplace: electric"", ""Free parking on premises"", ""Microwave"", ""Dedicated workspace"", ""Private patio or balcony"", ""Ethernet connection"", ""Essentials"", ""Hot water"", ""Central air conditioning"", ""Dishes and silverware"", ""Books and reading material"", ""BBQ grill: gas"", ""Private backyard \u2013 Fully fenced"", ""Hangers"", ""Self check-in"", ""Long term stays allowed"", ""Fire extinguisher""]",364.0
52491654,Entire home/apt,3,1204,Jamaica Plain,"[""Wifi"", ""Stove"", ""Kitchen"", ""Dishwasher"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""Hair dryer"", ""Extra pillows and blankets"", ""TV"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Free parking on premises"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",232.0
52516299,Private room,1,907,Dorchester,"[""Wifi"", ""Kitchen"", ""Long term stays allowed"", ""Breakfast"", ""Window AC unit"", ""Free street parking"", ""Lock on bedroom door"", ""First aid kit"", ""Refrigerator"", ""Iron"", ""Coffee maker"", ""Hair dryer"", ""Shower gel"", ""Free washer \u2013 In building"", ""Luggage dropoff allowed"", ""Shampoo"", ""Carbon monoxide alarm"", ""Security cameras on property"", ""Smoke alarm"", ""Cooking basics"", ""Microwave"", ""Dedicated workspace"", ""Smart lock"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Hangers"", ""Self check-in"", ""Clothing storage"", ""Heating"", ""Fire extinguisher""]",67.0
52531349,Private room,91,401,Charlestown,"[""Wifi"", ""Carbon monoxide alarm"", ""Trash compactor"", ""Hot water"", ""Stove"", ""Oven"", ""Dishes and silverware"", ""Kitchen"", ""Smoke alarm"", ""Dishwasher"", ""Freezer"", ""Laundromat nearby"", ""TV"", ""Refrigerator"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",89.0
52537112,Entire home/apt,1,820,Roxbury,"[""Wifi"", ""Kitchen"", ""Free street parking"", ""First aid kit"", ""Iron"", ""Hair dryer"", ""Body Cosumption by QueenCures  conditioner"", ""Cleaning products"", ""Extra pillows and blankets"", ""TV"", ""Bathtub"", ""QueenCures African Black Soap  body soap"", ""Air conditioning"", ""Clothing storage: closet and dresser"", ""Carbon monoxide alarm"", ""Oven"", ""Body  Consumption by Queencures shampoo"", ""Smoke alarm"", ""Cooking basics"", ""Mini fridge"", ""Dining table"", ""Free parking on premises"", ""Smoking allowed"", ""Microwave"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Gas stove"", ""Hangers"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher""]",139.0
52585555,Private room,1,8.04,Allston,"[""Wifi"", ""Dishwasher"", ""Lock on bedroom door"", ""Refrigerator"", ""Toaster"", ""Wine glasses"", ""Ceiling fan"", ""Iron"", ""Outdoor furniture"", ""Shared patio or balcony"", ""Hair dryer"", ""Central heating"", ""Shared backyard"", ""Lockbox"", ""Luggage dropoff allowed"", ""TV"", ""Hot water kettle"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Coffee maker: drip coffee maker, espresso machine"", ""Security cameras on property"", ""Smoke alarm"", ""Dining table"", ""Dedicated workspace"", ""Paid parking lot off premises"", ""Coffee"", ""Essentials"", ""Dishes and silverware"", ""Books and reading material"", ""Fire extinguisher"", ""Clothing storage: closet"", ""Hangers"", ""Self check-in"", ""Microwave""]",113.0
52592047,Private room,91,8.04,Allston,"[""Wifi"", ""Stove"", ""Kitchen"", ""Dishwasher"", ""Refrigerator"", ""Paid parking on premises"", ""Toaster"", ""Free washer \u2013 In unit"", ""Freezer"", ""Laundromat nearby"", ""Hot water kettle"", ""Air conditioning"", ""Free dryer \u2013 In unit"", ""Carbon monoxide alarm"", ""Oven"", ""Smoke alarm"", ""Pocket wifi"", ""Trash compactor"", ""Hot water"", ""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Microwave""]",45.0
52605162,Private room,25,814,Roxbury,"[""Shampoo"", ""Carbon monoxide alarm"", ""Wifi"", ""Washer"", ""Hair dryer"", ""Kitchen"", ""Smoke alarm"", ""Cooking basics"", ""Dedicated workspace"", ""Hangers"", ""First aid kit"", ""TV"", ""Dryer"", ""Heating"", ""Air conditioning"", ""Fire extinguisher"", ""Essentials"", ""Iron""]",45.0
52613030,Private room,1,8.04,Allston,"[""Wifi"", ""Lock on bedroom door"", ""Refrigerator"", ""Toaster"", ""Ceiling fan"", ""Iron"", ""Coffee maker"", ""Outdoor furniture"", ""Shared patio or balcony"", ""Hair dryer"", ""Shared backyard"", ""Lockbox"", ""Luggage dropoff allowed"", ""TV"", ""Hot water kettle"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Security cameras on property"", ""Smoke alarm"", ""Dining table"", ""Dedicated workspace"", ""Paid parking lot off premises"", ""Coffee"", ""Essentials"", ""Dishes and silverware"", ""Books and reading material"", ""Fire extinguisher"", ""Clothing storage: closet"", ""Hangers"", ""Self check-in"", ""Heating"", ""Microwave""]",113.0
52614016,Private room,1,8.06,Allston,"[""Wifi"", ""Dishwasher"", ""Lock on bedroom door"", ""Refrigerator"", ""Toaster"", ""Wine glasses"", ""Ceiling fan"", ""Iron"", ""Coffee maker"", ""Outdoor furniture"", ""Shared patio or balcony"", ""Hair dryer"", ""Shared backyard"", ""Lockbox"", ""Luggage dropoff allowed"", ""TV"", ""Hot water kettle"", ""Air conditioning"", ""Clothing storage: wardrobe"", ""Carbon monoxide alarm"", ""Security cameras on property"", ""Smoke alarm"", ""Dining table"", ""Dedicated workspace"", ""Coffee"", ""Essentials"", ""Dishes and silverware"", ""Books and reading material"", ""Fire extinguisher"", ""Hangers"", ""Self check-in"", ""Heating"", ""Microwave""]",108.0
52615785,Entire home/apt,3,701.02,Downtown,"[""Wifi"", ""HDTV with Chromecast"", ""Kitchen"", ""Dishwasher"", ""Pets allowed"", ""Coffee maker"", ""Iron"", ""Washer"", ""Hair dryer"", ""Elevator"", ""Air conditioning"", ""Shampoo"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Cooking basics"", ""Dedicated workspace"", ""Smart lock"", ""Essentials"", ""Dishes and silverware"", ""Hangers"", ""Self check-in"", ""Dryer"", ""Heating"", ""Fire extinguisher""]",590.0
