Census Tract,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More races,Occupied,Vacant
010802,3058,2453,44,139,281,4,0,20,117,1823,240
020101,4235,3643,44,167,210,0,0,25,146,2400,345
020200,3804,2870,166,269,329,1,1,13,155,2339,148
020301,2166,1288,60,143,581,0,0,11,83,1335,122
020302,1293,1007,42,100,90,0,0,8,46,744,59
020304,1906,1269,111,193,233,2,1,20,77,1049,107
020305,3633,2376,167,277,625,7,0,54,127,2188,442
030100,2115,1842,26,101,85,0,2,5,54,1291,90
030200,1815,1558,13,105,76,0,1,3,59,1088,55
030301,1385,1154,4,52,140,0,3,10,22,783,118
030302,1844,1300,103,157,195,2,0,13,74,868,381
030400,4160,3511,69,233,171,6,0,26,144,2421,215
030500,2715,2395,33,89,108,1,2,11,76,1514,158
040100,2360,2051,17,99,94,3,0,16,80,1201,54
040200,1594,837,197,380,91,4,1,12,72,639,65
040300,4525,3506,226,465,138,0,0,21,169,2021,94
040401,2922,2206,68,204,354,0,0,24,66,1256,54
040600,3683,2981,89,202,266,2,1,6,136,1805,214
040801,4036,2045,393,725,703,7,2,19,142,2010,112
050101,4917,1242,176,3058,253,2,7,43,136,1759,119
050200,5197,1467,121,3168,174,15,3,78,171,1850,144
050300,3258,1251,283,1207,354,5,0,32,126,1700,229
050400,2372,1090,41,969,119,2,1,60,90,1033,78
050500,2174,932,45,944,103,0,0,25,125,921,51
050600,2074,701,46,1168,82,3,1,25,48,833,46
050700,4520,1268,122,2699,122,10,1,140,158,1536,144
050901,4242,1091,77,2749,92,2,0,90,141,1412,92
051000,4317,1906,128,1907,154,2,0,71,149,1749,95
051101,6460,2741,275,2821,313,3,0,66,241,2264,180
051200,3454,2017,85,1000,149,1,0,48,154,1607,138
060101,3673,3400,15,128,55,2,0,6,67,1770,110
060200,2328,2149,7,81,29,1,0,7,54,1043,76
060301,3609,3368,32,89,45,0,0,18,57,1704,125
060400,5195,4740,27,181,104,6,0,12,125,2506,202
060501,4733,4167,31,184,207,2,2,18,122,2291,159
060601,2006,1661,44,86,150,1,0,8,56,1087,78
060602,331,265,10,10,33,2,0,0,11,214,32
060603,1502,1152,44,83,134,0,1,7,81,910,275
060604,2803,2110,95,176,250,0,0,56,116,1888,629
060700,1689,229,341,831,142,3,4,37,102,590,14
060800,4859,4201,45,233,247,11,1,13,108,2381,155
061000,2416,1168,334,634,164,0,0,22,94,1036,65
061101,2710,516,518,1127,388,12,0,37,112,1214,52
061201,2013,1567,65,132,170,0,0,7,72,976,62
061202,0,0,0,0,0,0,0,0,0,0,0
061203,2686,1973,70,181,369,0,0,6,87,1363,81
061204,937,787,11,45,64,0,0,3,27,611,62
070102,3687,2194,232,353,745,7,4,20,132,1223,426
070103,751,236,68,68,369,0,0,0,10,348,31
070104,2862,1852,51,144,667,2,0,16,130,1492,224
070201,3990,2230,179,261,1264,0,0,12,44,1018,71
070202,5460,1608,186,383,3107,2,4,16,154,2589,304
070301,2213,1687,50,163,207,0,0,13,93,1283,76
070302,2090,1426,55,105,426,0,1,13,64,1182,216
070402,3561,1473,374,278,1308,3,0,22,103,2009,169
070501,2223,1621,58,197,272,5,0,7,63,1191,70
070502,3393,1544,254,865,629,3,1,15,82,1735,109
070600,2287,1805,99,131,127,1,0,9,115,1151,109
